ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,27,Maharashtra,2725,PUNE,272501,AMBEGAON,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,77,88,76,88,73,64,59,0,0,0,0,0,78,59,77,73,76,72,65,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272502,BARAMATI,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,104,140,141,153,155,117,122,0,0,0,0,0,119,147,134,150,144,149,148,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272503,BHOR,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,67,78,72,83,94,84,77,7,0,0,0,0,67,56,67,57,94,66,88,8,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272504,DAUND,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,281,300,351,384,389,291,292,7,0,0,0,0,232,301,288,288,293,311,265,3,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272505,HAVELI,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,360,384,403,401,410,352,274,5,0,0,0,0,339,334,413,381,379,341,295,11,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272506,INDAPUR,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,112,124,134,142,150,136,110,4,0,0,0,0,105,136,120,135,155,154,165,8,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272507,JUNNAR,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,127,142,141,163,109,96,105,0,0,0,0,0,137,148,132,158,113,122,122,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272508,KHED,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,409,415,435,471,399,402,319,12,0,0,0,0,373,381,352,415,370,327,321,15,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272509,MAVAL,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,28,24,133,138,140,158,162,111,88,0,0,0,0,0,101,109,128,126,109,126,101,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272510,MULSHI,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,184,204,214,263,209,237,193,61,0,0,0,0,155,222,195,204,219,183,184,61,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272511,PURANDAR,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,47,62,74,64,71,65,64,0,0,0,0,0,54,56,53,64,64,80,52,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272512,SHIRUR,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,404,483,462,493,504,373,365,3,0,0,0,0,402,437,402,398,449,349,326,10,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272513,VELHE,Rural,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,23,27,22,27,32,35,44,0,0,0,0,0,15,24,23,30,30,37,33,2,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272502,BARAMATI,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,42,24,20,34,30,33,21,10,13,20,0,0,0,0,22,25,28,29,28,25,19,17,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272505,HAVELI,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,6,1,21,21,33,30,28,32,33,2,0,0,0,0,26,27,41,41,38,40,28,1,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272507,JUNNAR,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,10,5,13,3,10,11,6,5,0,0,0,0,5,5,12,7,11,3,5,3,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272508,KHED,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,85,123,134,209,204,235,259,0,0,0,0,0,81,80,126,128,114,110,94,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272509,MAVAL,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,33,38,55,55,44,34,36,22,0,0,0,0,38,46,43,49,52,56,47,23,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272510,MULSHI,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,8,17,6,0,3,9,9,0,0,0,0,0,6,12,8,12,12,6,10,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272511,PURANDAR,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,33,41,30,40,33,33,20,0,0,0,0,0,46,34,35,47,31,32,33,11,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272512,SHIRUR,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,0,0,21,26,19,17,10,11,2,0,0,0,0,0,20,22,15,16,14,11,7,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272514,Aundh,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,469,474,229,279,317,294,311,348,286,136,0,0,0,0,225,277,272,305,295,295,320,132,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272515,Yerawada,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,324,342,202,191,223,251,218,274,246,127,0,0,0,0,170,213,251,244,247,269,234,146,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272516,Bibwewadi,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,434,479,227,274,255,266,283,228,227,75,0,0,0,0,226,252,296,299,281,267,250,87,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272517,Hadpasar,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,582,594,426,477,459,482,419,461,414,166,0,0,0,0,430,454,438,506,518,520,500,172,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272518,Pune City,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,98,91,46,28,39,54,36,44,43,12,0,0,0,0,36,39,48,37,46,50,53,17,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272519,PIMPRI,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,343,332,225,286,305,304,334,282,300,51,0,0,0,0,228,324,338,315,347,352,340,71,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272520,AKURDI,Urban,2,cat2,UPS (I-VIII),3,Local body,4,OBC,553,501,311,393,430,459,467,430,435,89,0,0,0,0,359,409,451,455,474,466,416,112,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272502,BARAMATI,Rural,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,0,0,29,26,34,40,62,69,41,11,0,0,0,0,22,29,23,24,47,44,46,9,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272504,DAUND,Rural,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,18,22,56,39,44,49,53,71,64,0,0,0,0,0,35,41,37,34,42,48,49,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272505,HAVELI,Rural,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,56,41,65,58,69,85,62,68,63,4,0,0,0,0,102,96,88,110,89,92,107,1,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272506,INDAPUR,Rural,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,11,14,98,97,132,127,107,96,119,0,0,0,0,0,68,71,68,76,73,50,73,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272507,JUNNAR,Rural,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,13,17,14,18,25,30,31,20,13,0,0,0,0,0,14,13,13,10,16,20,24,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272508,KHED,Rural,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,3,1,4,5,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272509,MAVAL,Rural,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,0,0,9,16,18,25,19,19,17,0,0,0,0,0,9,9,11,13,19,18,17,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272512,SHIRUR,Rural,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,2,2,27,47,42,51,62,60,61,0,0,0,0,0,19,22,34,43,51,50,39,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272502,BARAMATI,Urban,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,36,22,22,16,25,20,16,8,11,0,0,0,0,0,12,17,19,22,14,6,7,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272503,BHOR,Urban,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,0,0,24,23,22,22,18,20,13,0,0,0,0,0,14,21,19,16,13,18,11,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272504,DAUND,Urban,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,0,0,28,34,44,36,41,40,28,0,0,0,0,0,27,27,39,40,37,40,24,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272505,HAVELI,Urban,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,2,2,14,14,17,29,23,27,17,0,0,0,0,0,10,14,22,18,24,21,15,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272506,INDAPUR,Urban,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,9,8,2,3,1,5,4,4,3,0,0,0,0,0,3,1,4,3,2,0,1,0,0,0,0,0
2019-20,27,Maharashtra,2725,PUNE,272507,JUNNAR,Urban,2,cat2,UPS (I-VIII),4,Government Aided,4,OBC,7,4,10,11,14,13,12,15,14,0,0,0,0,0,13,10,8,11,9,5,6,0,0,0,0,0
